generation,genome_hash,fidelity,family,horizon,n_features,score,sharpe_prevault,n_days,data_hash,panel_hash,config_hash,platform,parent_hash,birth_gen
3,2caf8739fbee,F1,seasonal_rule,63,0,0.9890071182206912,0.9890071182206912,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
3,de8bfdd03738,F1,seasonal_rule,63,0,0.9890071182206912,0.9890071182206912,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
3,1c27906465a1,F1,seasonal_rule,21,0,0.983076829632804,0.983076829632804,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,2acc5486e987,F1,seasonal_rule,21,0,0.983076829632804,0.983076829632804,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,35d85a0408d2,2
3,d9640520052f,F1,seasonal_rule,63,0,0.9398727349022888,0.9398727349022888,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
4,2caf8739fbee,F0,seasonal_rule,63,0,0.7718864338807782,0.7718864338807782,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
4,de8bfdd03738,F0,seasonal_rule,63,0,0.7718864338807782,0.7718864338807782,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
4,1c27906465a1,F0,seasonal_rule,21,0,0.747868246331163,0.747868246331163,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
4,5d695126e665,F0,seasonal_rule,63,0,0.7353351193520156,0.7353351193520156,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,d311a5fd6e9c+de8bfdd03738,4
4,07c8d25b5198,F0,seasonal_rule,63,0,0.80171174454312,0.80171174454312,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee+2caf8739fbee,4
4,2acc5486e987,F0,seasonal_rule,21,0,0.747868246331163,0.747868246331163,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2acc5486e987+2acc5486e987,4
4,db271198df4e,F0,seasonal_rule,63,0,0.3370173912155588,0.3370173912155588,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,4
